"df.data_coleta","od","dbo","turbidez","pH","coliformes","nt_total","p_total","temperatura","tds","IQA"
"1993-07-14",4.2,2,3,6.7,30000,0.59,0.205,19,149,39.9802928981596
"1993-08-02",4,4,4.8,6.5,50000,0.42,0.247,18,181,35.0535348237683
"1993-09-08",11,7,43,6.4,23000,0.52,0.247,20,183,46.6350178653644
"1993-10-13",3.4,4,7.4,6.7,7000,0.57,0.184,24,157,39.9040983584886
"1993-11-10",4.9,5,10,6.9,8000,0.63,0.156,23,173,42.9882507399479
"1993-12-06",2.8,6,78,7,17000,1,0.227,25,249,40.3265787253266
"1994-01-05",4.7,5,46,6.4,23000,0.16,0.159,22,175,37.5091198145922
"1994-02-21",4.4,3,180,7.5,13000,0.49,0.402,24,476,22.5843455607702
"1994-03-02",5.4,4,100,6.7,17000,0.14,0.419,23,358,41.7613566898976
"1994-04-04",6.6,2,4.1,6.6,13000,0.2,0.173,23,169,49.6881298899372
"1994-05-04",4.2,4,8,6.6,50000,0.88,0.152,22,141,36.8601162500405
"1994-06-14",1.8,2,2.9,6.8,8000,0.83,0.156,19,175,36.3194592235027
"1994-07-06",2.9,4,5,6.6,800,1.03,0.17,17,159,42.2218991924265
"1994-08-04",3.6,5,2.8,6.9,700,0.34,0.219,17,195,43.8923028244271
"1994-09-28",2.7,7,3,7,8000,2.66,0.328,20,253,39.1676028409263
"1994-10-05",2.4,3,2.8,7.1,17000,2.7,0.39,23,251,33.8278673360651
"1994-11-09",2.7,6,34,6.6,23000,0.88,0.188,26,196,37.079842176194
"1994-12-14",2.2,6,48,7.5,8000,1.3,0.239,25,246,38.0965365849598
"1995-01-18",4.4,2,61,6.4,17000,0.28,0.181,26,205,43.092482804281
"1995-05-17",6.5,5,130,6.6,23000,0.13,0.365,20,515,41.3885998871761
"1995-06-21",5.6,4,10,7,3000,0.43,0.279,17,128,46.3460374615621
"1995-07-26",5,6,10,6.4,5000,0.56,0.164,17,141,47.8492259016341
"1995-09-05",1.5,7,4,6.6,8000,1.98,0.294,20,182,34.6759364721483
"1995-11-29",3.7,7,30,6.9,30000,0.72,0.175,25,189,39.9083026535896
"1996-01-17",5.9,3,56,7,50000,0.31,0.154,27,177,43.6554006572275
"1996-03-21",6.4,5,125,6.5,5e+05,0.24,0.133,25,320,38.9545075388112
"1996-05-08",5.6,3,13,7.1,23000,0.69,0.12,19,128,43.6470482454754
"1996-07-10",3.2,9,5,6.9,17000,1.29,0.178,18,153,39.7690994336509
"1996-09-18",5.3,8,61,7.1,30000,0.91,0.24,21,235,44.5563202767669
"1996-11-06",5.3,8,77,7.1,5e+05,0.96,0.305,25,257,41.1832344102665
"1997-01-01",5.7,3,63,7,5000,0.09,0.22,23,198,49.3756676972545
"1997-03-01",5.6,3,37,6.9,110000,0.28,0.14,24,149,38.3994391125056
